{'time': 1.9690091609954834, 'x': 0.1461380652407164, 'y': 0.19988604377997568, 'z': 0.058744874843648806, 'yaw': 0.0518636651291883, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9793589115142822, 'x': 0.14634084527400248, 'y': 0.20005889125797816, 'z': 0.05986769039291444, 'yaw': 0.055188691957952965, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9896416664123535, 'x': 0.14635895405211508, 'y': 0.20007742696423356, 'z': 0.06142037733687484, 'yaw': 0.05657568437605942, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9997196197509766, 'x': 0.1463631865663811, 'y': 0.2001373186637559, 'z': 0.06312475751297875, 'yaw': 0.054940668644484235, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.008819341659546, 'x': 0.14639671365929355, 'y': 0.200203595605491, 'z': 0.0644302165598764, 'yaw': 0.05618985412237663, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.0198540687561035, 'x': 0.14622000357937218, 'y': 0.20019624255816604, 'z': 0.06621414401125644, 'yaw': 0.055430924650706946, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.0297656059265137, 'x': 0.14640488766023654, 'y': 0.2002870571458584, 'z': 0.06781293819728723, 'yaw': 0.059158788964530515, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.0397934913635254, 'x': 0.14622445292981065, 'y': 0.20020052527046345, 'z': 0.06972742963650005, 'yaw': 0.05857051063479335, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.0498387813568115, 'x': 0.14647298528277766, 'y': 0.20015836034633885, 'z': 0.07130399470218388, 'yaw': 0.06154319061079488, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.059812307357788, 'x': 0.14652487811211062, 'y': 0.20020683897269184, 'z': 0.07310014300307076, 'yaw': 0.060642258657461194, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.069110631942749, 'x': 0.14653049867045306, 'y': 0.20010155363866267, 'z': 0.07516125000785558, 'yaw': 0.06349210208302046, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.0790748596191406, 'x': 0.14619099574213218, 'y': 0.1998184951731572, 'z': 0.07716019210164815, 'yaw': 0.06532300266195419, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
