{'time': 1.5216641426086426, 'x': 0.105826261883802, 'y': 0.0009044411661957815, 'z': 0.652950497567764, 'yaw': 1.3740424413020955, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5271787643432617, 'x': 0.10566673928341226, 'y': 0.0008477153288927857, 'z': 0.652813136288608, 'yaw': 1.3732685844418018, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5326895713806152, 'x': 0.10564077509084303, 'y': 0.0008622041970864078, 'z': 0.6528210751619605, 'yaw': 1.373383677416971, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.538203239440918, 'x': 0.1056550280839405, 'y': 0.0008470344211719702, 'z': 0.6528518328608373, 'yaw': 1.3735478985533798, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.543717861175537, 'x': 0.10567393522315001, 'y': 0.0008432528558164864, 'z': 0.6528250143913273, 'yaw': 1.37348993197221, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5492324829101562, 'x': 0.10567348724258518, 'y': 0.0008408861939966457, 'z': 0.6528147383098273, 'yaw': 1.373510568248296, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5547730922698975, 'x': 0.10567890921508001, 'y': 0.0008487752880874823, 'z': 0.6527876804485181, 'yaw': 1.3735397459950083, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5602624416351318, 'x': 0.1056658153512509, 'y': 0.0008400280192955431, 'z': 0.6528044264565784, 'yaw': 1.3735135590838645, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.565777063369751, 'x': 0.10565869599031373, 'y': 0.0008426907620249788, 'z': 0.6528029480534537, 'yaw': 1.373236526098321, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.571291446685791, 'x': 0.10568579185749523, 'y': 0.0008324659380611568, 'z': 0.6528217208213988, 'yaw': 1.373259567104149, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
