{'time': 1.9458229541778564, 'x': 0.05873355573160307, 'y': 0.1163198520720237, 'z': 0.05788567835473072, 'yaw': 0.044830694772749764, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9558310508728027, 'x': 0.058558580077143776, 'y': 0.11637344811731982, 'z': 0.05912329643378321, 'yaw': 0.051574359138911716, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.965937852859497, 'x': 0.058475428651990194, 'y': 0.11664307074000682, 'z': 0.0602584532211482, 'yaw': 0.04834101232749154, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9769690036773682, 'x': 0.05867046195132133, 'y': 0.11666043900686003, 'z': 0.06111151823775358, 'yaw': 0.05293173967576948, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.986025094985962, 'x': 0.058685997519310085, 'y': 0.11656390675994648, 'z': 0.062499952245491555, 'yaw': 0.04599689843097535, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.9956693649291992, 'x': 0.05833985246309967, 'y': 0.11668026942554187, 'z': 0.06386239099370732, 'yaw': 0.0534498685820959, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.005699872970581, 'x': 0.05853180737304657, 'y': 0.11664154986676158, 'z': 0.06513473438037261, 'yaw': 0.049681260892450924, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.015989065170288, 'x': 0.058707557683997075, 'y': 0.11669193969324014, 'z': 0.06651860225201676, 'yaw': 0.05195483650731015, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.0267510414123535, 'x': 0.05871658543421349, 'y': 0.1170558220051349, 'z': 0.06775731220048455, 'yaw': 0.047850027469535095, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 2.036059617996216, 'x': 0.05876929656801638, 'y': 0.11706855846675655, 'z': 0.06908823279634549, 'yaw': 0.0533074889632725, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
